Date,Harvey_Texas,Harvey_Louisiana,Irma_PuertoRico,Irma_StCroix,Irma_StJohn,Irma_StThomas,Irma_Florida,Irma_Georgia,Irma_SouthCarolina,Irma_NorthCarolina,Irma_Alabama,Maria_PuertoRico,Maria_StThomas,Maria_StJohn,Maria_StCroix,Nate_Alabama,Nate_Florida,Nate_Mississippi
8/26/17,278182,780,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8/27/17,289509,426,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8/28/17 ,292704,2582,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8/29/17 ,274086,1031,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8/30/17 ,275584,16517,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8/31/17  ,186969,9116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9/1/17 ,158771,1690,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9/02/17 ,114771,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9/02/17 ,64308,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9/05/17 ,55996,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9/06/17 ,53311,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9/07/17,null,null,1044289,9080,2893,19581,null,null,null,null,null,null,null,null,null,null,null,null
9/08/17  ,null,null,870403,null,2893,19581,null,null,null,null,null,null,null,null,null,null,null,null
9/09/17 ,null,null,674085,6905,2893,19581,56758,null,null,null,null,null,null,null,null,null,null,null
9/10/17 ,null,null,431064,6905,2893,19581,1779744,null,null,null,null,null,null,null,null,null,null,null
9/11/17 ,null,null,368682,6905,2893,19574,6117024,866682,184471,null,null,null,null,null,null,null,null,null
9/12/17 ,null,null,null,null,null,null,4788277,932587,140759,56834,20050,null,null,null,null,null,null,null
9/13/17 ,null,null,null,null,null,null,3568499,451033,58972,24445,null,null,null,null,null,null,null,null
9/14/17,null,null,103677,null,null,null,2292530,218502,9792,8655,null,null,null,null,null,null,null,null
9/15/17,null,null,86997,null,null,null,2009805,69115,null,null,null,null,null,null,null,null,null,null
9/16/17,null,null,69877,null,null,null,1204894,22701,null,null,null,null,null,null,null,null,null,null
9/17/17,null,null,65053,null,null,null,813411,4764,null,null,null,null,null,null,null,null,null,null
9/18/17,null,null,63503,null,null,null,386762,null,null,null,null,null,null,null,null,null,null,null
9/19/17,null,null,61308,null,null,null,202439,null,null,null,null,null,null,null,null,null,null,null
9/20/17,null,null,null,null,null,null,75803,null,null,null,null,884000,null,null,null,null,null,null
9/21/17,null,null,null,null,null,null,36700,null,null,null,null,1569796,null,null,null,null,null,null
9/21/17,null,null,null,null,null,null,29315,null,null,null,null,1569796,null,null,null,null,null,null
9/22/17,null,null,null,null,null,null,16771,null,null,null,null,1569796,null,null,null,null,null,null
9/22/17,null,null,null,null,null,null,13337,null,null,null,null,1569796,null,null,null,null,null,null
9/23/17,null,null,null,null,null,null,10189,null,null,null,null,1569796,null,null,null,null,null,null
9/24/17,null,null,null,null,null,null,7851,null,null,null,null,1569796,null,null,null,null,null,null
9/25/17,null,null,null,null,null,null,null,null,null,null,null,1569796,null,null,null,null,null,null
9/26/17,null,null,null,null,null,null,null,null,null,null,null,1569796,null,null,null,null,null,null
9/27/17,null,null,null,null,null,null,null,null,null,null,null,1569796,null,null,null,null,null,null
9/28/17,null,null,null,null,null,null,null,null,null,null,null,1569796,null,null,null,null,null,null
9/29/17,null,null,null,null,null,null,null,null,null,null,null,1569796,null,null,null,null,null,null
9/30/17,null,null,null,null,null,null,null,null,null,null,null,1491307,null,null,null,null,null,null
10/1/17,null,null,null,null,null,null,null,null,null,null,null,1491307,null,null,null,null,null,null
10/2/17,null,null,null,null,null,null,null,null,null,null,null,1485028,null,null,null,null,null,null
10/4/17,null,null,null,null,null,null,null,null,null,null,null,1425375,null,null,null,null,null,null
10/6/17,null,null,null,null,null,null,null,null,null,null,null,1401828,null,null,null,null,null,null
10/7/17,null,null,null,null,null,null,null,null,null,null,null,1386130,null,null,null,null,null,null
10/8/17,null,null,null,null,null,null,null,null,null,null,null,1386130,21899,2893,null,79092,6504,26317
10/9/17,null,null,null,null,null,null,null,null,null,null,null,1334327,21899,2893,null,1114,null,1975
10/10/17,null,null,null,null,null,null,null,null,null,null,null,1318629,21899,2893,null,null,null,null
10/11/17,null,null,null,null,null,null,null,null,null,null,null,1403398,21899,2893,null,null,null,null
10/12/17,null,null,null,null,null,null,null,null,null,null,null,1302931,21899,2893,null,null,null,null
10/13/17,null,null,null,null,null,null,null,null,null,null,null,1412817,21899,2893,null,null,null,null
10/15/17,null,null,null,null,null,null,null,null,null,null,null,null,19177,2887,null,null,null,null
10/16/17,null,null,null,null,null,null,null,null,null,null,null,1354734,19177,2887,null,null,null,null
10/17/17,null,null,null,null,null,null,null,null,null,null,null,1291943,16112,2887,null,null,null,null
10/18/17,null,null,null,null,null,null,null,null,null,null,null,1269965,null,null,null,null,null,null
10/19/17,null,null,null,null,null,null,null,null,null,null,null,1230721,null,null,null,null,null,null
10/20/17,null,null,null,null,null,null,null,null,null,null,null,1279384,null,null,null,null,null,null
10/22/17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
10/23/17,null,null,null,null,null,null,null,null,null,null,null,1287233,null,null,null,null,null,null
10/24/17,null,null,null,null,null,null,null,null,null,null,null,null,15839,2887,22098,null,null,null
10/26/17,null,null,null,null,null,null,null,null,null,null,null,1158510,null,null,null,null,null,null
10/30/17,null,null,null,null,null,null,null,null,null,null,null,1091009,15573,2537,22019,null,null,null
11/2/17,null,null,null,null,null,null,null,null,null,null,null,990541,20042,2665,17684,null,null,null
11/3/17,null,null,null,null,null,null,null,null,null,null,null,907342,17738,2554,15714,null,null,null
11/9/17,null,null,null,null,null,null,null,null,null,null,null,null,15454,2160,18561,null,null,null
